racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,rp1,rp2,rp3,rp4,rp5
5,5,Decathlon,Magnus A Djuse,Timo Nurmos,21,403572,2,60.0,3,60.0,9,30.0,1,80.0,3,110.0,99,5,89.0,0.03333333333333333,0.05,0.3,0.0125,0.02727272727272727
5,6,Rustico,Thomas Uhrberg,Thomas Uhrberg,4,350000,1,35.0,1,40.0,9,100.0,3,110.0,6,110.0,99,28,36.0,0.02857142857142857,0.025,0.09,0.02727272727272727,0.05454545454545454
5,7,Roger More,Kevin Oscarsson,Kevin Oscarsson,1,318000,7,110.0,4,80.0,1,50.0,2,25.0,1,30.0,99,23,146.0,0.06363636363636363,0.05,0.02,0.08,0.03333333333333333
5,8,Kipketer Mearas,Björn Goop,Ulf Stenströmer,11,477500,2,150.0,9,110.0,1,80.0,9,80.0,1,60.0,99,30,113.0,0.013333333333333334,0.08181818181818182,0.0125,0.1125,0.016666666666666666
5,9,Star Cash,Dante Kolgjini,Adrian Kolgjini,2,480396,2,35.0,4,540.0,1,80.0,3,40.0,4,100.0,99,107,102.0,0.05714285714285714,0.007407407407407408,0.0125,0.075,0.04
5,10,Solkattens Star,Claes Sjöström,Anders Ahlneby,1,364900,1,25.0,5,25.0,4,150.0,4,80.0,3,80.0,99,63,633.0,0.04,0.2,0.02666666666666667,0.05,0.0375
5,11,Savastano,Adrian Kolgjini,Adrian Kolgjini,8,365598,3,30.0,9,100.0,9,200.0,2,110.0,3,200.0,99,78,102.0,0.1,0.09,0.045,0.01818181818181818,0.015
5,12,Global Education,Emilia Leo,Fredrik Wallin,2,337000,1,25.0,9,30.0,9,100.0,2,40.0,1,35.0,99,114,107.0,0.04,0.3,0.09,0.05,0.02857142857142857
6,1,Danger Bi,Alessandro Gocciadoro,Alessandro Gocciadoro,5,2625037,9,30.0,2,30.0,9,200.0,6,150.0,2,220.0,99,110,156.0,0.3,0.06666666666666667,0.045,0.04,0.00909090909090909
6,2,Ferrari Sisu,Conrad Lugauer,Conrad Lugauer,4,5319082,9,30.0,8,150.0,3,150.0,4,150.0,6,150.0,99,15,14.0,0.3,0.05333333333333334,0.02,0.02666666666666667,0.04
6,3,Santos de Castella,Jörgen Westholm,Jörgen Westholm,2,1796333,4,30.0,9,30.0,6,30.0,2,30.0,2,30.0,99,44,58.0,0.13333333333333333,0.3,0.2,0.06666666666666667,0.06666666666666667
6,4,Digital Dominance,Ken Ecce,Ken Ecce,1,2059273,6,30.0,1,40.0,7,150.0,3,30.0,4,30.0,99,12,366.0,0.2,0.025,0.04666666666666667,0.1,0.13333333333333333
6,5,Thereisnolimit,Ulf Ohlsson,Stefan Melander,3,1934121,6,400.0,4,100.0,3,150.0,2,300.0,1,80.0,99,1,83.0,0.015,0.04,0.02,0.006666666666666667,0.0125
6,6,Brother Bill,Magnus A Djuse,Timo Nurmos,11,8536000,4,150.0,5,150.0,4,500.0,3,150.0,5,150.0,99,5,89.0,0.02666666666666667,0.03333333333333333,0.008,0.02,0.03333333333333333
6,7,Demon,Carl Johan Jepson,Gennaro Casillo,13,1972951,1,150.0,6,30.0,4,500.0,9,30.0,2,540.0,99,2,122.0,0.006666666666666667,0.2,0.008,0.3,0.003703703703703704
6,8,Husse Boko,Gustav Johansson,Catharina Johansson,1,2593327,1,15.0,5,40.0,3,40.0,9,75.0,6,100.0,99,8,297.0,0.06666666666666667,0.125,0.075,0.12,0.06
6,9,Admiral As,Örjan Kihlström,Daniel Redén,56,5234985,9,30.0,2,30.0,1,400.0,6,2800.0,1,150.0,99,59,84.0,0.3,0.06666666666666667,0.0025,0.002142857142857143,0.006666666666666667
6,10,Edibear,André Eklundh,Linda Persson,4,2612595,2,30.0,1,40.0,7,500.0,4,150.0,9,150.0,99,89,166.0,0.06666666666666667,0.025,0.014,0.02666666666666667,0.06
6,11,Mr Mah Can,Rikard N Skoglund,Sofia Aronsson,0,1811795,4,50.0,9,40.0,9,150.0,3,40.0,1,30.0,99,86,26.0,0.08,0.225,0.06,0.075,0.03333333333333333
7,1,Joe Dalton,Magnus A Djuse,Stefan P Pettersson,18,1194500,2,125.0,6,150.0,4,150.0,1,60.0,3,30.0,99,5,47.0,0.016,0.04,0.02666666666666667,0.016666666666666666,0.1
7,2,Queen Belina,Jörgen Westholm,Jörgen Westholm,12,5064000,5,110.0,3,250.0,6,150.0,1,800.0,2,200.0,99,44,58.0,0.045454545454545456,0.012,0.04,0.00125,0.01
7,3,Corazon de B.,Per Lennartsson,Per Lennartsson,4,1664000,3,125.0,5,125.0,9,125.0,3,250.0,1,125.0,99,42,88.0,0.024,0.04,0.072,0.012,0.008
7,4,Laredo Boko,Robert Bergh,Robert Bergh,1,1434247,5,125.0,2,40.0,9,40.0,6,30.0,4,30.0,99,62,62.0,0.04,0.05,0.225,0.2,0.13333333333333333
7,5,Rossi Garline,Christoffer Eriksson,Christoffer Eriksson,1,1305455,2,40.0,9,125.0,9,125.0,2,125.0,2,30.0,99,10,9.0,0.05,0.072,0.072,0.016,0.06666666666666667
7,6,Don't Say Gar,Alessandro Gocciadoro,Alessandro Gocciadoro,7,2701669,4,110.0,5,30.0,3,30.0,3,30.0,4,30.0,99,110,156.0,0.03636363636363636,0.16666666666666666,0.1,0.1,0.13333333333333333
7,7,Akilles Face,Adrian Kolgjini,Adrian Kolgjini,4,1098800,1,100.0,5,40.0,9,40.0,4,60.0,9,150.0,99,78,102.0,0.01,0.125,0.225,0.06666666666666667,0.06
7,8,Lozano di Quattro,Tobias J Gustafsson,Per K Eriksson,13,1372800,3,50.0,1,60.0,1,60.0,1,30.0,2,220.0,99,35,48.0,0.06,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.00909090909090909
7,9,Great Skills,Daniel Wäjersten,Daniel Wäjersten,35,6159447,9,30.0,9,30.0,4,30.0,2,30.0,1,150.0,99,72,97.0,0.3,0.3,0.13333333333333333,0.06666666666666667,0.006666666666666667
7,10,Triton,Mats Gunnarsson,Mats Gunnarsson,1,1262900,4,250.0,9,400.0,9,125.0,1,125.0,2,60.0,99,290,463.0,0.016,0.0225,0.072,0.008,0.03333333333333333
7,12,H.C.'s Crazy Horse,Erik Adielsson,Daniel Wäjersten,2,1052500,2,40.0,1,40.0,9,125.0,5,125.0,1,60.0,99,13,97.0,0.05,0.025,0.072,0.04,0.016666666666666666
